Album,Artist,Genre,Score,Best New Music,Reviewer,Reviewer Detail,Date,URL
Concrete and Gold,Foo Fighters,Rock,6.5,,Jayson Greene,Contributing Editor,"Mon, 18 Sep 2017 05:00:00 GMT",/reviews/albums/foo-fighters-concrete-and-gold/
Buy Muy Drugs,Buy Muy Drugs,Rap,6.8,,Marcus J. Moore,Contributor,"Mon, 18 Sep 2017 05:00:00 GMT",/reviews/albums/buy-muy-drugs-buy-muy-drugs/
Existence Problem EP,Marius,Electronic,7.1,,Philip Sherburne,Contributing Editor,"Mon, 18 Sep 2017 05:00:00 GMT",/reviews/albums/marius-existence-problem-ep/
Parallels,Nosaj Thing,Electronic,6.4,,Nina Corcoran,Contributor,"Mon, 18 Sep 2017 05:00:00 GMT",/reviews/albums/nosaj-thing-parallels/
White Pony,Deftones,"Metal, Rock",8.4,,Ian Cohen,Contributor,"Sun, 17 Sep 2017 05:00:00 GMT",/reviews/albums/deftones-white-pony/
Half-Light,Rostam,Pop/R&B,7.2,,Ryan Dombal,Senior Editor,"Sat, 16 Sep 2017 05:00:00 GMT",/reviews/albums/rostam-half-light/
Event Horizon,The Necessaries,Experimental,8.3,Best new reissue,Thea Ballard,Contributor,"Sat, 16 Sep 2017 05:00:00 GMT",/reviews/albums/the-necessaries-event-horizon/
Akira (Symphonic Suite),Geinoh Yamashirogumi,Experimental,8.4,Best new reissue,Kevin Lozano,Tracks Coordinator,"Sat, 16 Sep 2017 05:00:00 GMT",/reviews/albums/geinoh-yamashirogumi-akira-symphonic-suite/
Discussions,Roscoe Mitchell,Jazz,7.8,,Seth Colter Walls,Contributor,"Sat, 16 Sep 2017 05:00:00 GMT",/reviews/albums/roscoe-mitchell-discussions/
The Aviary,Galantis,Electronic,6.4,,Brad Shoup,Contributor,"Sat, 16 Sep 2017 05:00:00 GMT",/reviews/albums/galantis-the-aviary/
Dedicated to Bobby Jameson,Ariel Pink,Rock,8.2,Best new music,Sam Sodomsky,Associate Staff Writer,"Fri, 15 Sep 2017 05:00:00 GMT",/reviews/albums/ariel-pink-dedicated-to-bobby-jameson/
Blue Velvet (Original Motion Picture Soundtrack),Angelo Badalamenti,Experimental,8.0,,Meaghan Garvey,Contributor,"Fri, 15 Sep 2017 05:00:00 GMT",/reviews/albums/angelo-badalamenti-blue-velvet-original-motion-picture-soundtrack/
Wide Open,Michael McDonald,Rock,5.8,,Eric Harvey,Contributor,"Fri, 15 Sep 2017 05:00:00 GMT",/reviews/albums/michael-mcdonald-wide-open/
Souvenirs,Shenandoah Davis,Pop/R&B,7.6,,Cameron Cook,Contributor,"Fri, 15 Sep 2017 05:00:00 GMT",/reviews/albums/shenandoah-davis-souvenirs/
Communicating,Hundred Waters,Electronic,7.5,,Jamieson Cox,Contributor,"Thu, 14 Sep 2017 05:00:00 GMT",/reviews/albums/hundred-waters-communicating/
Deer Tick Vol. 1,Deer Tick,Rock,6.6,,Saby Reyes-Kulkarni,Contributor,"Thu, 14 Sep 2017 05:00:00 GMT",/reviews/albums/deer-tick-deer-tick-vol-1-deer-tick-vol-2/
Deer Tick Vol. 2 ,Deer Tick,Rock,7.0,,Saby Reyes-Kulkarni,Contributor,"Thu, 14 Sep 2017 05:00:00 GMT",/reviews/albums/deer-tick-deer-tick-vol-1-deer-tick-vol-2/
Ardor,BIG|BRAVE,Metal,7.6,,Louis Pattison,Contributor,"Thu, 14 Sep 2017 05:00:00 GMT",/reviews/albums/bigorbrave-ardor/
Running Back Mastermix,Tony Humphries,Electronic,7.3,,Ben Cardew,Contributor,"Thu, 14 Sep 2017 05:00:00 GMT",/reviews/albums/tony-humphries-running-back-mastermix/
Native Invader,Tori Amos,Rock,7.5,,Maura Johnston,Contributor,"Wed, 13 Sep 2017 05:00:00 GMT",/reviews/albums/tori-amos-native-invader/
CCCLX,Lunice,Electronic,5.7,,Kevin Lozano,Tracks Coordinator,"Wed, 13 Sep 2017 05:00:00 GMT",/reviews/albums/lunice-ccclx/
The Gradual Progression,Greg Fox,Experimental,7.7,,Matthew Schnipper,Managing Editor,"Wed, 13 Sep 2017 05:00:00 GMT",/reviews/albums/greg-fox-the-gradual-progression/
Hippopotamus,Sparks,"Electronic, Experimental, Rock",7.1,,Chris Randle,Contributor,"Wed, 13 Sep 2017 05:00:00 GMT",/reviews/albums/sparks-hippopotamus/
Hitchhiker,Neil Young,Rock,8.4,Best new reissue,Sam Sodomsky,Associate Staff Writer,"Tue, 12 Sep 2017 05:00:00 GMT",/reviews/albums/neil-young-hitchhiker/
1992 Deluxe,Princess Nokia,Rap,6.2,,Claire Lobenfeld,Contributor,"Tue, 12 Sep 2017 05:00:00 GMT",/reviews/albums/princess-nokia-1992-deluxe/
A Moment Apart,Odesza,Electronic,5.8,,Philip Sherburne,Contributing Editor,"Tue, 12 Sep 2017 05:00:00 GMT",/reviews/albums/odesza-a-moment-apart/
In Search of Lost Time,Partner,Rock,7.5,,Stuart Berman,Contributor,"Tue, 12 Sep 2017 05:00:00 GMT",/reviews/albums/partner-in-search-of-lost-time/
Love What Survives,Mount Kimbie,Electronic,8.4,Best new music,Andy Beta,Contributor,"Mon, 11 Sep 2017 05:00:00 GMT",/reviews/albums/mount-kimbie-love-what-survives/
The Hanged Man,Ted Leo,Rock,7.7,,Stuart Berman,Contributor,"Mon, 11 Sep 2017 05:00:00 GMT",/reviews/albums/ted-leo-the-hanged-man/
Outrage! Is Now,Death From Above,Rock,7.3,,Saby Reyes-Kulkarni,Contributor,"Mon, 11 Sep 2017 05:00:00 GMT",/reviews/albums/death-from-above-outrage-is-now/
Thx,Lomelda,Rock,8.0,,Sasha Geffen,Contributor,"Mon, 11 Sep 2017 05:00:00 GMT",/reviews/albums/lomelda-thx/
"MAKANDA at the End of Space, the Beginning of Time",Pierre Kwenders,Pop/R&B,7.9,,Jonathan Zwickel,Contributor,"Mon, 11 Sep 2017 05:00:00 GMT",/reviews/albums/pierre-kwenders-makanda-at-the-end-of-space-the-beginning-of-time/
Red,King Crimson,Rock,9.0,,Sam Sodomsky,Associate Staff Writer,"Sun, 10 Sep 2017 05:00:00 GMT",/reviews/albums/king-crimson-red/
How Did I Find Myself Here?,The Dream Syndicate,Rock,6.9,,David Chiu,Contributor,"Sat, 09 Sep 2017 05:00:00 GMT",/reviews/albums/the-dream-syndicate-how-did-i-find-myself-here/
Forced Witness,Alex Cameron,Rock,7.8,,Stuart Berman,Contributor,"Sat, 09 Sep 2017 05:00:00 GMT",/reviews/albums/alex-cameron-forced-witness/
Out of All This Blue,The Waterboys,Rock,6.3,,Stephen Thomas Erlewine,Contributor,"Sat, 09 Sep 2017 05:00:00 GMT",/reviews/albums/the-waterboys-out-of-all-this-blue/
Sleep Well Beast,The National,Rock,8.0,,Jayson Greene,Contributing Editor,"Fri, 08 Sep 2017 05:00:00 GMT",/reviews/albums/the-national-sleep-well-beast/
Fifth Harmony,Fifth Harmony,Pop/R&B,5.3,,Cameron Cook,Contributor,"Fri, 08 Sep 2017 05:00:00 GMT",/reviews/albums/fifth-harmony-fifth-harmony/
Mountain Moves,Deerhoof,Experimental,7.7,,Seth Colter Walls,Contributor,"Fri, 08 Sep 2017 05:00:00 GMT",/reviews/albums/deerhoof-mountain-moves/
I Can’t Stand It Here on Quiet Nights: Singles 1981-82,Maximum Joy,Rock,8.4,Best new reissue,Philip Sherburne,Contributing Editor,"Fri, 08 Sep 2017 05:00:00 GMT",/reviews/albums/maximum-joy-i-cant-stand-it-here-on-quiet-nights-singles-1981-82/
Antisocialites,Alvvays,Rock,7.3,,Marc Hogan,Senior Staff Writer,"Thu, 07 Sep 2017 05:00:00 GMT",/reviews/albums/alvvays-antisocialites/
The Echo of Pleasure,The Pains of Being Pure at Heart,Rock,6.8,,Paul Thompson,Contributor,"Thu, 07 Sep 2017 05:00:00 GMT",/reviews/albums/the-pains-of-being-pure-at-heart-the-echo-of-pleasure/
Ariadna,Kedr Livanskiy,Electronic,7.4,,Jesse Weiss,Contributor,"Thu, 07 Sep 2017 05:00:00 GMT",/reviews/albums/kedr-livanskiy-ariadna/
Death Valley Oasis,D33J,Electronic,6.8,,Jay Balfour,Contributor,"Thu, 07 Sep 2017 05:00:00 GMT",/reviews/albums/d33j-death-valley-oasis/
