Album,Artist,Genre,Score,Best New Music,Reviewer,Reviewer Detail,Date,URL
Luciferian Towers,Godspeed You! Black Emperor,Rock,7.3,,Sean T. Collins,Contributor,"Thu, 21 Sep 2017 05:00:00 GMT",/reviews/albums/godspeed-you-black-emperor-luciferian-towers/
Hallelujah Anyhow,Hiss Golden Messenger,Folk/Country,7.9,,Stephen M. Deusner,Contributor,"Thu, 21 Sep 2017 05:00:00 GMT",/reviews/albums/hiss-golden-messenger-hallelujah-anyhow/
Brand New Abyss,The Blow,Pop/R&B,5.8,,Brian Howe,Contributor,"Thu, 21 Sep 2017 05:00:00 GMT",/reviews/albums/the-blow-brand-new-abyss/
You.Know.I.Got.It (The Album),Koran Streets,Rap,7.8,,David Drake,Contributor,"Thu, 21 Sep 2017 05:00:00 GMT",/reviews/albums/koran-streets-youknowigotit-the-album/
Haiku From Zero,Cut Copy,Rock,6.3,,Chal Ravens,Contributor,"Wed, 20 Sep 2017 05:00:00 GMT",/reviews/albums/cut-copy-haiku-from-zero/
ununiform,Tricky,Electronic,5.1,,Ben Cardew,Contributor,"Wed, 20 Sep 2017 05:00:00 GMT",/reviews/albums/tricky-ununiform/
Light Information,Chad VanGaalen,Rock,7.4,,Marc Hogan,Senior Staff Writer,"Wed, 20 Sep 2017 05:00:00 GMT",/reviews/albums/chad-vangaalen-light-information/
Electric Trim,Lee Ranaldo,"Experimental ,Rock",6.5,,Paul Thompson,Contributor,"Wed, 20 Sep 2017 05:00:00 GMT",/reviews/albums/lee-ranaldo-electric-trim/
Prophets of Rage,Prophets of Rage,Rock,4.6,,Evan Rytlewski,Contributor,"Tue, 19 Sep 2017 05:00:00 GMT",/reviews/albums/prophets-of-rage-prophets-of-rage/
Brick Body Kids Still Daydream,Open Mike Eagle,Rap,8.1,,Matthew  Ismael Ruiz,Contributor,"Tue, 19 Sep 2017 05:00:00 GMT",/reviews/albums/open-mike-eagle-brick-body-kids-still-daydream/
Mourn,Corbin,Pop/R&B,6.8,,Pat Levy,,"Tue, 19 Sep 2017 05:00:00 GMT",/reviews/albums/corbin-mourn/
Son of a Lady EP,Hope Sandoval & the Warm Inventions,Rock,6.9,,Olivia Horn ,Contributor ,"Tue, 19 Sep 2017 05:00:00 GMT",/reviews/albums/hope-sandoval-and-the-warm-inventions-son-of-a-lady-ep/
